layer_index,from_node,to_node,weight,type
1,1,1,-0.5338158,weight
1,1,2,0.44185778,weight
1,1,3,-0.5263591,weight
1,1,4,-0.59232694,weight
1,1,5,0.56024265,weight
1,1,6,-0.16401072,weight
1,1,7,0.54639095,weight
1,1,8,-0.16190186,weight
1,1,9,-0.47587293,weight
1,1,10,-0.5053808,weight
1,1,11,-0.5630199,weight
1,1,12,-0.037276812,weight
1,2,1,-0.26958793,weight
1,2,2,-0.03669556,weight
1,2,3,-0.01994307,weight
1,2,4,0.017990207,weight
1,2,5,-0.23322771,weight
1,2,6,0.14389105,weight
1,2,7,0.20115244,weight
1,2,8,0.19519466,weight
1,2,9,-0.16960213,weight
1,2,10,-0.43657982,weight
1,2,11,-0.23477009,weight
1,2,12,-0.12131441,weight
1,3,1,-0.19746079,weight
1,3,2,-0.10489006,weight
1,3,3,-0.39574206,weight
1,3,4,-0.23472138,weight
1,3,5,-0.10184961,weight
1,3,6,-0.4084026,weight
1,3,7,0.28213388,weight
1,3,8,-0.43984458,weight
1,3,9,-0.052946784,weight
1,3,10,-0.0059725046,weight
1,3,11,0.17682579,weight
1,3,12,-0.11308638,weight
1,4,1,-0.37364554,weight
1,4,2,0.37810647,weight
1,4,3,-0.11782661,weight
1,4,4,-0.2479369,weight
1,4,5,0.47073677,weight
1,4,6,-0.21231847,weight
1,4,7,0.23172453,weight
1,4,8,0.26810864,weight
1,4,9,0.3386859,weight
1,4,10,-0.4242335,weight
1,4,11,-0.2688166,weight
1,4,12,-0.3304533,weight
1,5,1,-0.042832516,weight
1,5,2,0.52502453,weight
1,5,3,-0.24442258,weight
1,5,4,0.14748421,weight
1,5,5,0.019396238,weight
1,5,6,-0.20639849,weight
1,5,7,0.23516145,weight
1,5,8,0.23410434,weight
1,5,9,-0.26663148,weight
1,5,10,-0.3204678,weight
1,5,11,0.08003864,weight
1,5,12,-0.25073904,weight
1,6,1,0.26620093,weight
1,6,2,0.42538458,weight
1,6,3,-0.005120625,weight
1,6,4,0.12935382,weight
1,6,5,0.015139194,weight
1,6,6,-0.3423311,weight
1,6,7,0.1515274,weight
1,6,8,-0.09972283,weight
1,6,9,-0.5511449,weight
1,6,10,0.23122902,weight
1,6,11,-0.112541236,weight
1,6,12,0.45566243,weight
1,7,1,-0.26543695,weight
1,7,2,0.23398055,weight
1,7,3,-0.005198995,weight
1,7,4,0.08163989,weight
1,7,5,-0.033046834,weight
1,7,6,-0.007933985,weight
1,7,7,0.18767197,weight
1,7,8,-0.40318152,weight
1,7,9,0.23808677,weight
1,7,10,-0.2310135,weight
1,7,11,-0.24657874,weight
1,7,12,0.051513255,weight
1,8,1,-0.28829077,weight
1,8,2,-0.27822864,weight
1,8,3,-0.045635518,weight
1,8,4,-0.113868944,weight
1,8,5,-0.09206833,weight
1,8,6,-0.20806122,weight
1,8,7,0.22149108,weight
1,8,8,-0.061038047,weight
1,8,9,-0.048911627,weight
1,8,10,-0.056032874,weight
1,8,11,-0.35146624,weight
1,8,12,0.035693903,weight
1,9,1,-0.25468913,weight
1,9,2,0.13240077,weight
1,9,3,-0.16792549,weight
1,9,4,-0.19921309,weight
1,9,5,-0.18672335,weight
1,9,6,-0.35756662,weight
1,9,7,0.14060916,weight
1,9,8,0.23996429,weight
1,9,9,-0.24465671,weight
1,9,10,0.023453012,weight
1,9,11,-0.09050069,weight
1,9,12,-0.023268728,weight
1,10,1,0.64723957,weight
1,10,2,-0.4828065,weight
1,10,3,-0.18807048,weight
1,10,4,-0.12689124,weight
1,10,5,-0.42274052,weight
1,10,6,0.35525945,weight
1,10,7,-0.31521884,weight
1,10,8,-0.044465043,weight
1,10,9,-0.038301725,weight
1,10,10,0.4148377,weight
1,10,11,-0.17067447,weight
1,10,12,0.07561123,weight
1,11,1,-0.3240062,weight
1,11,2,-0.17068827,weight
1,11,3,0.23388034,weight
1,11,4,0.33762252,weight
1,11,5,-0.31392753,weight
1,11,6,0.17508607,weight
1,11,7,-0.25665748,weight
1,11,8,0.11750524,weight
1,11,9,0.48260102,weight
1,11,10,0.33585748,weight
1,11,11,9.9586905e-06,weight
1,11,12,0.38806155,weight
1,0,1,-0.024586296,bias
1,0,2,0.04363285,bias
1,0,3,-0.048912317,bias
1,0,4,-0.05879687,bias
1,0,5,0.08210823,bias
1,0,6,-0.025512362,bias
1,0,7,0.0062592262,bias
1,0,8,-0.06542795,bias
1,0,9,-0.055421505,bias
1,0,10,-0.037647065,bias
1,0,11,-0.046627592,bias
1,0,12,-0.04042079,bias
2,1,1,-1.3416001,weight
2,2,1,1.0831425,weight
2,3,1,-1.2283096,weight
2,4,1,-1.4275914,weight
2,5,1,1.3860435,weight
2,6,1,-0.084854655,weight
2,7,1,1.5205839,weight
2,8,1,-0.019914404,weight
2,9,1,-1.0581199,weight
2,10,1,-1.218006,weight
2,11,1,-1.362134,weight
2,12,1,-0.0055264025,weight
2,0,1,0.07040528,bias
3,1,1,-0.31032503,weight
3,1,2,0.45423022,weight
3,1,3,-0.28066915,weight
3,1,4,-0.2457578,weight
3,1,5,0.56714916,weight
3,1,6,0.17926048,weight
3,1,7,0.60034955,weight
3,1,8,0.05435009,weight
3,1,9,-0.12788604,weight
3,1,10,-0.20937116,weight
3,1,11,-0.32133693,weight
3,1,12,0.18732625,weight
3,0,1,-0.018830633,bias
3,0,2,0.086501226,bias
3,0,3,0.026393557,bias
3,0,4,0.12940858,bias
3,0,5,0.11405675,bias
3,0,6,0.10467098,bias
3,0,7,0.092639185,bias
3,0,8,0.074328884,bias
3,0,9,0.11814366,bias
3,0,10,0.09471617,bias
3,0,11,-0.014093859,bias
3,0,12,0.14471701,bias
4,1,1,-0.032124095,weight
4,1,2,0.15725374,weight
4,1,3,0.058663983,weight
4,1,4,-0.050172035,weight
4,1,5,0.14068274,weight
4,1,6,0.04295534,weight
4,1,7,0.1878341,weight
4,1,8,0.019310622,weight
4,1,9,-0.016062038,weight
4,1,10,-0.010718982,weight
4,1,11,-0.014645604,weight
4,2,1,0.08030073,weight
4,2,2,0.058510877,weight
4,2,3,0.11594775,weight
4,2,4,0.10614795,weight
4,2,5,0.10078561,weight
4,2,6,-0.041602727,weight
4,2,7,0.15148716,weight
4,2,8,0.065476984,weight
4,2,9,0.15911593,weight
4,2,10,0.06417133,weight
4,2,11,0.0010610675,weight
4,3,1,0.044107538,weight
4,3,2,0.060602527,weight
4,3,3,0.11526379,weight
4,3,4,0.01697685,weight
4,3,5,-0.040583856,weight
4,3,6,0.008849948,weight
4,3,7,0.027722288,weight
4,3,8,-0.06588499,weight
4,3,9,0.13221368,weight
4,3,10,-0.014647652,weight
4,3,11,0.096169434,weight
4,4,1,0.08546962,weight
4,4,2,0.15107827,weight
4,4,3,0.1379383,weight
4,4,4,0.0058947625,weight
4,4,5,0.10085922,weight
4,4,6,0.06448826,weight
4,4,7,0.06345609,weight
4,4,8,0.10202277,weight
4,4,9,0.050464552,weight
4,4,10,0.10198071,weight
4,4,11,0.19472642,weight
4,5,1,0.21927325,weight
4,5,2,0.030959673,weight
4,5,3,0.13575055,weight
4,5,4,-0.0028881924,weight
4,5,5,0.08470613,weight
4,5,6,0.1626603,weight
4,5,7,0.059946906,weight
4,5,8,0.12342248,weight
4,5,9,0.036239557,weight
4,5,10,0.050702207,weight
4,5,11,0.10763165,weight
4,6,1,0.1720466,weight
4,6,2,0.06588334,weight
4,6,3,0.11483805,weight
4,6,4,0.1318896,weight
4,6,5,-0.0051006833,weight
4,6,6,0.17156662,weight
4,6,7,0.14814357,weight
4,6,8,0.08146833,weight
4,6,9,0.15530016,weight
4,6,10,0.025141595,weight
4,6,11,0.035837065,weight
4,7,1,0.08410804,weight
4,7,2,0.10885409,weight
4,7,3,0.06486339,weight
4,7,4,0.18277666,weight
4,7,5,0.076193355,weight
4,7,6,0.19197315,weight
4,7,7,0.014774765,weight
4,7,8,0.09939021,weight
4,7,9,0.08541661,weight
4,7,10,0.10001874,weight
4,7,11,0.056935944,weight
4,8,1,0.07731782,weight
4,8,2,0.14528084,weight
4,8,3,0.065906554,weight
4,8,4,0.1401257,weight
4,8,5,-0.004948381,weight
4,8,6,-0.0010966052,weight
4,8,7,0.10725365,weight
4,8,8,0.002797305,weight
4,8,9,-0.045217503,weight
4,8,10,0.10799934,weight
4,8,11,0.10215268,weight
4,9,1,-0.0013640405,weight
4,9,2,0.07577676,weight
4,9,3,0.17475256,weight
4,9,4,0.08603292,weight
4,9,5,0.08108818,weight
4,9,6,0.082124464,weight
4,9,7,0.035025258,weight
4,9,8,0.04163755,weight
4,9,9,0.04342977,weight
4,9,10,0.0684773,weight
4,9,11,0.089086115,weight
4,10,1,0.06681069,weight
4,10,2,-0.013461021,weight
4,10,3,0.10297662,weight
4,10,4,0.061587725,weight
4,10,5,0.14536388,weight
4,10,6,0.033933144,weight
4,10,7,0.13176715,weight
4,10,8,0.05142314,weight
4,10,9,0.06795043,weight
4,10,10,0.22654666,weight
4,10,11,-0.014019288,weight
4,11,1,-0.002832519,weight
4,11,2,0.030045794,weight
4,11,3,0.06446941,weight
4,11,4,0.1322467,weight
4,11,5,-0.013600424,weight
4,11,6,0.029552562,weight
4,11,7,0.050405156,weight
4,11,8,0.1152555,weight
4,11,9,-0.002744962,weight
4,11,10,0.1129957,weight
4,11,11,-0.019918488,weight
4,12,1,0.060826443,weight
4,12,2,0.1300933,weight
4,12,3,0.22525689,weight
4,12,4,0.013211138,weight
4,12,5,0.07564301,weight
4,12,6,0.020011576,weight
4,12,7,0.10387953,weight
4,12,8,0.1399032,weight
4,12,9,0.13752156,weight
4,12,10,0.048897672,weight
4,12,11,0.19773678,weight
4,0,1,0.07650585,bias
4,0,2,0.091005296,bias
4,0,3,0.15660173,bias
4,0,4,0.068357386,bias
4,0,5,0.05151825,bias
4,0,6,0.056904655,bias
4,0,7,0.08234113,bias
4,0,8,0.03477244,bias
4,0,9,0.0715479,bias
4,0,10,0.07571426,bias
4,0,11,0.08563113,bias
